amenitiesId,amenities
LOSAMT1,"['Free parking on premises', 'Kitchen', 'Wifi', 'Cable TV', 'Iron', 'Dryer', 'Hangers', 'Washer', 'Hair dryer', 'Shampoo', 'TV', 'Air conditioning', 'Essentials', 'Heating', 'Paid parking off premises', 'Free street parking', 'Smoke alarm', 'Carbon monoxide alarm', 'First aid kit', 'Fire extinguisher', 'Lockbox', 'Private entrance', 'Baby monitor', 'Bathtub', 'Children’s books and toys', 'Pack ’n play/Travel crib', 'Hot water', 'Body soap', 'Bed linens', 'Extra pillows and blankets', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'BBQ grill', 'Patio or balcony', 'Backyard', 'Beach essentials', 'Long term stays allowed', 'Waterfront', 'Outdoor dining area', 'Bikes', 'Fire pit', 'Dining table', 'Toaster', 'Outdoor furniture', 'Freezer', 'Piano', 'Board games', 'Portable fans', 'Shower gel', 'Baking sheet', 'Barbecue utensils', 'Conditioner', 'Cleaning products', 'Clothing storage', 'Wine glasses']"
LOSAMT2,"['Free parking on premises', 'Kitchen', 'Wifi', 'Cable TV', 'Dedicated workspace', 'Iron', 'Dryer', 'Hangers', 'Washer', 'Hair dryer', 'Shampoo', 'TV', 'Essentials', 'Heating', 'Bathtub', 'Body soap', 'Cleaning products', 'Conditioner', 'Hot water', 'Shower gel', 'Bed linens', 'Extra pillows and blankets', 'Room-darkening shades', 'Children’s books and toys', 'Carbon monoxide alarm', 'First aid kit', 'Smoke alarm', 'Baking sheet', 'Coffee maker', 'Cooking basics', 'Dining table', 'Dishes and silverware', 'Dishwasher', 'Freezer', 'Hot water kettle', 'Microwave', 'Oven', 'Refrigerator', 'Rice maker', 'Stove', 'Toaster', 'Wine glasses', 'Private entrance', 'Backyard', 'Outdoor dining area', 'Outdoor furniture', 'Patio or balcony', 'EV charger', 'Free street parking', 'Single level home', 'Long term stays allowed', 'Lockbox']"
LOSAMT3,"['Wifi', 'Iron', 'Dryer', 'Hangers', 'Washer', 'Hair dryer', 'Shampoo', 'TV', 'Essentials', 'Heating', 'Free street parking', 'Smoke alarm', 'Carbon monoxide alarm', 'Fire extinguisher', 'Private entrance', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishes and silverware', 'Patio or balcony', 'Long term stays allowed']"
LOSAMT4,"['Free parking on premises', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Iron', 'Dryer', 'Hangers', 'Washer', 'Hair dryer', 'Shampoo', 'TV', 'Air conditioning', 'Essentials', 'Heating', 'Bathtub', 'Body soap', 'Cleaning products', 'Conditioner', 'Hot water', 'Shower gel', 'Bed linens', 'Clothing storage', 'Drying rack for clothing', 'Extra pillows and blankets', 'Mosquito net', 'Room-darkening shades', 'Ethernet connection', 'Baby bath', 'Baby monitor', 'Baby safety gates', 'Babysitter recommendations', 'Board games', 'Changing table', 'Children’s books and toys', 'Children’s dinnerware', 'Crib', 'Fireplace guards', 'High chair', 'Outlet covers', 'Pack ’n play/Travel crib', 'Ceiling fan', 'Portable fans', 'Carbon monoxide alarm', 'Fire extinguisher', 'First aid kit', 'Smoke alarm', 'Baking sheet', 'Barbecue utensils', 'Coffee maker', 'Cooking basics', 'Dining table', 'Dishes and silverware', 'Dishwasher', 'Freezer', 'Hot water kettle', 'Microwave', 'Oven', 'Pour-over coffee', 'Refrigerator', 'Stove', 'Toaster', 'Wine glasses', 'Laundromat nearby', 'Private entrance', 'BBQ grill', 'Beach essentials', 'Backyard', 'Outdoor dining area', 'Outdoor furniture', 'Patio or balcony', 'Free street parking', 'Single level home', 'Long term stays allowed', 'Luggage dropoff allowed', 'Smart lock']"
LOSAMT5,"['Free parking on premises', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Iron', 'Hangers', 'Hair dryer', 'Shampoo', 'TV', 'Air conditioning', 'Essentials', 'Heating', 'Free street parking', 'Smoke alarm', 'Carbon monoxide alarm', 'First aid kit', 'Fire extinguisher', 'Smart lock', 'Private entrance', 'Crib', 'Hot water', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishes and silverware', 'Cooking basics']"
LOSAMT6,"['Free parking on premises', 'Kitchen', 'Wifi', 'Iron', 'Hangers', 'Hair dryer', 'Shampoo', 'TV', 'Essentials', 'Heating', 'Free street parking', 'Smoke alarm', 'Carbon monoxide alarm', 'First aid kit', 'Fire extinguisher', 'Lockbox', 'Private entrance', 'Baby bath', 'Hot water', 'Body soap', 'Bed linens', 'Extra pillows and blankets', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'Single level home', 'BBQ grill', 'Patio or balcony', 'Backyard', 'Luggage dropoff allowed', 'Long term stays allowed', 'Hot water kettle', 'Outdoor dining area', 'Dining table', 'Toaster', 'Outdoor furniture', 'Freezer', 'Portable fans', 'Shower gel', 'Baking sheet', 'Barbecue utensils', 'Conditioner', 'Laundromat nearby', 'Cleaning products', 'Drying rack for clothing', 'Clothing storage', 'Wine glasses']"
LOSAMT7,"['Free parking on premises', 'Kitchen', 'Wifi', 'Iron', 'Dryer', 'Hangers', 'Washer', 'Shampoo', 'TV', 'Air conditioning', 'Essentials', 'Heating', 'Bathtub', 'Body soap', 'Cleaning products', 'Conditioner', 'Hot water', 'Shower gel', 'Bed linens', 'Clothing storage', 'Drying rack for clothing', 'Extra pillows and blankets', 'Ceiling fan', 'Carbon monoxide alarm', 'Fire extinguisher', 'Smoke alarm', 'Baking sheet', 'Coffee maker', 'Cooking basics', 'Dining table', 'Dishes and silverware', 'Dishwasher', 'Freezer', 'Hot water kettle', 'Microwave', 'Oven', 'Refrigerator', 'Rice maker', 'Stove', 'Toaster', 'Trash compactor', 'Wine glasses', 'Private entrance', 'Free street parking', 'Single level home', 'Long term stays allowed', 'Keypad']"
LOSAMT8,"['Free parking on premises', 'Wifi', 'Dedicated workspace', 'Iron', 'Hangers', 'Hair dryer', 'Shampoo', 'TV', 'Essentials', 'Heating', 'Free street parking', 'Smoke alarm', 'Carbon monoxide alarm', 'First aid kit', 'Fire extinguisher', 'Lockbox', 'Private entrance', 'Hot water', 'Body soap', 'Bed linens', 'Extra pillows and blankets', 'Coffee maker', 'Refrigerator', 'Dishes and silverware', 'Single level home', 'Patio or balcony', 'Backyard', 'Beach essentials', 'Luggage dropoff allowed', 'Hot water kettle', 'Ceiling fan', 'Mini fridge', 'Outdoor dining area', 'Toaster', 'Outdoor furniture', 'Portable fans', 'Shower gel', 'Conditioner', 'Clothing storage', 'Wine glasses']"
LOSAMT9,"['Free parking on premises', 'Breakfast', 'Kitchen', 'Wifi', 'Pool', 'Cable TV', 'Indoor fireplace', 'Dedicated workspace', 'Iron', 'Dryer', 'Hangers', 'Washer', 'Hair dryer', 'Shampoo', 'TV', 'Air conditioning', 'Essentials', 'Heating', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Carbon monoxide alarm', 'First aid kit', 'Lock on bedroom door', 'Smoke alarm', 'Coffee maker', 'Cooking basics', 'Dishes and silverware', 'Microwave', 'Refrigerator', 'Stove', 'BBQ grill', 'Backyard', 'Patio or balcony', 'Free street parking', 'Single level home', 'Long term stays allowed', 'Luggage dropoff allowed', 'Host greets you']"
LOSAMT10,"['Elevator', 'Free parking on premises', 'Breakfast', 'Kitchen', 'Wifi', 'Hot tub', 'Cable TV', 'Indoor fireplace', 'Dedicated workspace', 'Dryer', 'Hangers', 'Washer', 'Hair dryer', 'Shampoo', 'TV', 'Air conditioning', 'Essentials', 'Heating', 'Hot water', 'Carbon monoxide alarm', 'Fire extinguisher', 'Lock on bedroom door', 'Smoke alarm', 'Coffee maker', 'Microwave', 'Oven', 'Refrigerator', 'Stove', 'Patio or balcony', 'Long term stays allowed', 'Luggage dropoff allowed', 'Host greets you']"
