bookingId,airbnbHostId,listingId,amenitiesId,airbnbPropertyId,reviewId,checkInOutId,locationId,pricingId,occupancyRateLtm,numberOfBookingsLtm,numberOfBookingsLtmObservedMonth,countBlockedDaysLtm,instantBookEnabled,countReservationDaysLtm,countavailableDaysLtm,annualRevenueLtmUSD,annualRevenueLtmNative
LOSBOK4,8639323,LOSLIS4,LOSAMT4,10042945,LOSREV4,LOSCHK4,LOSLOC4,LOSPRC4,34,0,-10,340,FALSE,7,25,1658,1658
LOSBOK83,201589300,LOSLIS83,LOSAMT83,46009005,LOSREV83,LOSCHK83,LOSLOC83,LOSPRC83,66,43,40,13,TRUE,193,352,29709,29709
LOSBOK194,161489684,LOSLIS194,LOSAMT194,37016015,LOSREV194,LOSCHK194,LOSLOC194,LOSPRC194,20,37,34,64,TRUE,49,301,18602,18602
LOSBOK3,4612021,LOSLIS3,LOSAMT3,20805403,LOSREV3,LOSCHK3,LOSLOC3,LOSPRC3,62,3,0,330,TRUE,18,35,1990,1990
LOSBOK360,198968102,LOSLIS360,LOSAMT360,27462291,LOSREV360,LOSCHK360,LOSLOC360,LOSPRC360,57,3,0,308,FALSE,27,57,1762,1762
LOSBOK79,49971616,LOSLIS79,LOSAMT79,19160343,LOSREV79,LOSCHK79,LOSLOC79,LOSPRC79,100,37,34,24,FALSE,296,341,105064,105064
LOSBOK236,24116162,LOSLIS236,LOSAMT236,50086941,LOSREV236,LOSCHK236,LOSLOC236,LOSPRC236,16,1,-9,190,FALSE,23,175,18450,18450
LOSBOK246,421243,LOSLIS246,LOSAMT246,38211982,LOSREV246,LOSCHK246,LOSLOC246,LOSPRC246,77,3,0,214,FALSE,97,151,66210,66210
LOSBOK115,432554847,LOSLIS115,LOSAMT115,53421867,LOSREV115,LOSCHK115,LOSLOC115,LOSPRC115,60,43,42,93,TRUE,145,272,28244,28244
LOSBOK371,4955218,LOSLIS371,LOSAMT371,48147819,LOSREV371,LOSCHK371,LOSLOC371,LOSPRC371,78,46,43,51,FALSE,203,314,71791,71791
LOSBOK345,304857670,LOSLIS345,LOSAMT345,52156557,LOSREV345,LOSCHK345,LOSLOC345,LOSPRC345,33,0,2,365,FALSE,0,0,2752,2752
LOSBOK391,23118355,LOSLIS391,LOSAMT391,51236982,LOSREV391,LOSCHK391,LOSLOC391,LOSPRC391,41,22,19,148,FALSE,75,217,60783,60783
LOSBOK242,19267387,LOSLIS242,LOSAMT242,3795794,LOSREV242,LOSCHK242,LOSLOC242,LOSPRC242,100,2,-1,354,TRUE,10,11,1505,1505
LOSBOK63,16595056,LOSLIS63,LOSAMT63,45569436,LOSREV63,LOSCHK63,LOSLOC63,LOSPRC63,83,78,75,58,TRUE,213,307,38180,38180
LOSBOK140,2451422,LOSLIS140,LOSAMT140,1054981,LOSREV140,LOSCHK140,LOSLOC140,LOSPRC140,65,1,-2,304,FALSE,33,61,17617,17617
LOSBOK328,211786,LOSLIS328,LOSAMT328,9630053,LOSREV328,LOSCHK328,LOSLOC328,LOSPRC328,100,65,62,43,FALSE,309,322,47355,47355
