checkInOutId,checkoutTime,minimumStay,checkinStartTime,checkinEndTime
LOSCHK1,11:00,3.0,15:00,22:00
LOSCHK2,11:00,5.0,15:00,22:00
LOSCHK3,10:00,30.0,15:00,22:00
LOSCHK4,10:00,30.0,16:00,22:00
LOSCHK5,10:00,30.0,15:00,22:00
LOSCHK6,12:00,2.0,15:00,22:00
LOSCHK7,12:00,30.0,15:00,22:00
LOSCHK8,11:00,3.0,15:00,22:00
LOSCHK9,11:00,30.0,18:00,23:00
LOSCHK10,12:00,30.0,15:00,22:00
LOSCHK11,11:00,30.0,15:00,22:00
LOSCHK12,11:00,2.0,15:00,22:00
LOSCHK13,11:00,4.0,15:00,22:00
LOSCHK14,10:00,1.0,15:00,22:00
LOSCHK15,11:00,30.0,16:00,22:00
LOSCHK16,11:00,5.0,15:00,22:00
LOSCHK17,11:00,30.0,16:00,22:00
LOSCHK18,11:00,30.0,15:00,22:00
LOSCHK19,11:00,60.0,15:00,22:00
LOSCHK20,10:00,30.0,12:00,22:00
LOSCHK21,11:00,30.0,15:00,22:00
LOSCHK22,11:00,3.0,15:00,22:00
LOSCHK23,11:00,30.0,15:00,22:00
LOSCHK24,11:00,1.0,13:00,22:00
LOSCHK25,11:00,30.0,16:00,22:00
LOSCHK26,11:00,3.0,16:00,21:00
LOSCHK27,11:00,30.0,00:00,00:00
LOSCHK28,12:00,30.0,14:00,22:00
LOSCHK29,10:00,3.0,16:00,23:00
LOSCHK30,10:00,30.0,00:00,00:00
LOSCHK31,11:00,3.0,16:00,21:00
LOSCHK32,10:00,30.0,15:00,22:00
LOSCHK33,10:00,31.0,15:00,22:00
LOSCHK34,10:00,30.0,15:00,22:00
LOSCHK35,11:00,30.0,15:00,23:00
LOSCHK36,14:00,1.0,00:00,00:00
LOSCHK37,11:00,3.0,16:00,22:00
LOSCHK38,10:00,1.0,16:00,22:00
LOSCHK39,10:00,30.0,16:00,23:00
LOSCHK40,11:00,30.0,16:00,22:00
LOSCHK41,11:00,4.0,15:00,22:00
LOSCHK42,11:00,30.0,16:00,22:00
LOSCHK43,11:00,1.0,16:00,22:00
LOSCHK44,11:00,2.0,15:00,22:00
LOSCHK45,10:00,2.0,16:00,22:00
LOSCHK46,12:00,30.0,16:00,22:00
