airbnbHostId,hostListingCount,superhost
3691177,1,
67925775,1,
4612021,7,
8639323,32,
220118615,9,
25153051,1,
426431415,1,
6701135,1,
1381694,7,
6255849,3,
33871614,1,
706094,1,
29181924,4,
25362470,1,
44206024,1,
12063606,2,
13856090,34,
18849014,4,
56660204,5,
3655118,1,
46797516,2,
262017069,1,
1010613,3,
157574171,2,
275388077,25,
232930661,1,
17397673,2,
149880315,2,
391180079,1,
90659293,8,
47178967,3,
4612021,7,
1180987,4,
7356043,32,
15702910,1,
242192495,2,
7279762,3,
55350919,1,
274790722,2,
231719877,3,
13870525,2,
811855,1,
54981225,1,
255250211,1,
39076467,4,
9354641,4,
109996945,1,
57461671,3,
225231640,3,
15902216,1,
141929,4,
1458653,34,
135761452,2,
381538,1,
4363708,3,
380723472,1,
4235108,20,
167242968,3,
91187617,0,
138820503,1,
272590038,1,
172106971,1,
16595056,2,
141791329,2,
61099503,1,
11351063,26,
32853817,1,
10320665,1,
10837477,1,
373428537,2,
4612021,7,
64230479,1,
307707323,1,
114749851,5,
253105222,36,
219989882,3,
151573,1,
12735502,1,
49971616,2,
209349629,4,
391000211,1,
5443727,0,
201589300,5,
20542761,1,
1396279,1,
21458609,67,
158645672,2,
21751820,3,
106941010,14,
21303728,2,
6342966,1,
213211861,10,
27424158,1,
17370496,2,
141204980,1,
19649942,2,
95543,9,
216011579,1,
249979583,2,
95159390,3,
24056496,2,
57809472,1,
4612021,7,
662129,2,
231719877,3,
81794058,17,
81794058,17,
1497645,2,
357636213,1,
132107331,1,
7599550,3,
4656446,173,
1124533,10,
837146,0,
432554847,1,
136658583,3,
30099936,1,
183140617,2,
368192414,1,
62948190,1,
52687209,1,
7356043,32,
225288630,2,
40618027,0,
192792552,1,
384886743,1,
19054848,3,
164165289,2,
20322871,2,
4612021,7,
203396173,3,
199420880,3,
389786153,1,
301045151,3,
126158743,1,
146202663,11,
20482275,1,
231470553,2,
122437249,1,
2451422,1,
208533838,1,
24851824,3,
274790722,2,
16976871,1,
128734546,2,
72933825,54,
1794266,1,
5927634,2,
5469474,27,
9880222,0,
207345612,1,
54284511,1,
67684839,8,
47591846,2,
60850136,3,
40712381,6,
114122831,3,
200659000,22,
109407921,1,
9950113,1,
50148,7,
240892068,1,
7362787,3,
351521,1,
382900463,7,
295744253,3,
197133374,1,
5469474,27,
161489684,11,
163463758,1,
59169,2,
395789362,8,
48099220,3,
12386962,1,
34449845,0,
220118615,9,
4955218,23,
228954660,1,
34760960,1,
433966389,1,
161489684,11,
229603019,28,
20577537,1,
13856090,34,
18940847,2,
1497543,19,
487573230,28,
29591316,8,
80707196,0,
66841417,1,
109188211,1,
26019462,2,
1454964,14,
161489684,11,
197172498,1,
47231131,1,
3003777,1,
41760582,1,
158457555,2,
327802832,5,
67674442,3,
75277436,6,
23458477,43,
4391378,2,
380972955,1,
396514772,7,
7356043,32,
235258798,3,
22303156,1,
10035468,23,
7321832,2,
100841421,1,
194154268,3,
60139252,1,
395789362,8,
187905475,1,
11401464,1,
305794501,1,
229920950,1,
139167046,3,
30270802,1,
60271552,8,
18616122,33,
239687804,1,
148797371,10,
23458477,43,
29834154,2,
1497881,4,
382900463,7,
314561223,0,
364368739,2,
59223061,1,
75177834,4,
342781316,1,
11712907,1,
24116162,1,
61265154,2,
37420851,4,
205101206,1,
414332340,2,
92882371,1,
19267387,1,
24170533,6,
353008872,1,
8170488,2,
421243,1,
106980640,20,
11561385,1,
64806363,1,
11167683,1,
8170759,2,
33236253,1,
250312632,108,
19812312,1,
97287273,2,
4761562,4,
10201715,2,
18948318,3,
12009571,2,
3144,1,
273609140,4,
79154430,1,
18589181,1,
2435461,5,
618883,1,
10832832,36,
19137950,2,
92251416,5,
15727461,1,
58659876,1,
258778921,4,
159494763,15,
774530,1,
38551478,7,
201853680,2,
84165483,7,
30120272,3,
18982371,1,
117946335,1,
331239240,2,
273609140,4,
117206038,2,
293451891,1,
49098106,1,
