listingId,airbnbPropertyId,bedrooms,bathrooms,maxGuests,listingTitle,propertyType,listingType,listingURL,pictureURL,createdDate,cancellationPolicy,instantBookable,petsAllowed
LOSLIS1,46774862,1,1,4,Amazing Venice Beach House,Entire home,entire_home,http://airbnb.com/rooms/46774862,https://a0.muscache.com/im/pictures/9689147/55546487_original.jpg?aki_policy=small,31/07/2023,strict_14_with_grace_period,False,False
LOSLIS2,34937216,2,2,6,Modern Venice beach bungalow,Entire home,entire_home,http://airbnb.com/rooms/34937216,https://a0.muscache.com/im/pictures/483fec75-684b-4159-8146-8bf84a854390.jpg?aki_policy=small,09/10/2022,flexible,False,False
LOSLIS3,20805403,Studio,1,6,Extra Large Venice-Mar Vista Studio,Entire rental unit,entire_home,http://airbnb.com/rooms/20805403,https://a0.muscache.com/im/pictures/d1b84751-47ce-4e60-b050-a8a2a19436a8.jpg?aki_policy=small,31/07/2023,strict_14_with_grace_period,False,False
LOSLIS4,10042945,3,2,8,Modern LA 3BR Home - Excellent Value & Location!,Entire home,entire_home,http://airbnb.com/rooms/10042945,https://a0.muscache.com/im/pictures/60386f0d-3066-4bc9-8db8-10a320eed66d.jpg?aki_policy=small,12/12/2022,strict_14_with_grace_period,False,False
LOSLIS5,32900744,Studio,1,2,Encino Studio Jewel,Entire guesthouse,entire_home,http://airbnb.com/rooms/32900744,https://a0.muscache.com/im/pictures/0017ac2e-bc29-4869-97ff-fcd151fd73d1.jpg?aki_policy=small,31/07/2023,moderate,False,False
LOSLIS6,14686773,1,1,3,1 Bed Guesthouse on edge of Marina Del Rey,Entire bungalow,entire_home,http://airbnb.com/rooms/14686773,https://a0.muscache.com/im/pictures/10dd70d0-2bb7-40b7-8799-d26f56f846d6.jpg?aki_policy=small,31/07/2023,moderate,False,False
LOSLIS7,52679460,3,2,10,Newly Remodeled/Furnished 3bed/2bath Home Near LAX,Entire home,entire_home,http://airbnb.com/rooms/52679460,https://a0.muscache.com/im/pictures/miso/Hosting-52679460/original/1c0c6e7f-a408-40dc-b0e8-fba527717dc5.jpeg?aki_policy=small,13/12/2022,moderate,False,False
LOSLIS8,4279041,1,1,2,Cottage Near the Sea!,Entire guesthouse,entire_home,http://airbnb.com/rooms/4279041,https://a0.muscache.com/im/pictures/55979966/b94dbd8a_original.jpg?aki_policy=small,31/07/2023,flexible,False,False
LOSLIS9,10920578,1,2,2,Rooms per month near Malibu - Los Angeles (LA),Private room in home,private_room,http://airbnb.com/rooms/10920578,https://a0.muscache.com/im/pictures/ced71b2c-7c75-4b81-9cb6-6184027fe326.jpg?aki_policy=small,12/12/2022,better_strict_with_grace_period,False,False
LOSLIS10,28198828,1,1,2,Private cozy room of 2/2 condo in west LA,Private room in rental unit,private_room,http://airbnb.com/rooms/28198828,https://a0.muscache.com/im/pictures/744ee7f9-1612-42e4-8204-359dec9a78a9.jpg?aki_policy=small,08/10/2022,strict_14_with_grace_period,False,False
