locationId,country,state,city,zipcode,longitude,latitude,exactLocation
LOSLOC1,US,Los Angeles,Unknown,90291,-118.47056,33.98514,False
LOSLOC2,US,Los Angeles,Unknown,90291,-118.46078,33.98287,False
LOSLOC3,US,Los Angeles,Unknown,90066,-118.43381,33.99957,False
LOSLOC4,US,Los Angeles,Unknown,91356,-118.55333,34.17982,False
LOSLOC5,US,Los Angeles,Unknown,91316,-118.51633,34.17141,False
LOSLOC6,US,Los Angeles,Unknown,90066,-118.43221,33.99103,False
LOSLOC7,US,Los Angeles,Unknown,90003,-118.27463,33.94786,False
LOSLOC8,US,Los Angeles,Unknown,90272,-118.53428,34.04461,False
LOSLOC9,US,Los Angeles,Unknown,91367,-118.64617,34.17043,False
LOSLOC10,US,Los Angeles,Unknown,90064,-118.43834,34.03189,False
LOSLOC11,US,Los Angeles,Unknown,90501,-118.30736,33.8326,False
LOSLOC12,US,Los Angeles,Unknown,90291,-118.4697,33.98353,False
LOSLOC13,US,Los Angeles,Unknown,90291,-118.46021,33.98618,False
LOSLOC14,US,Los Angeles,Unknown,90230,-118.4096,33.98601,False
LOSLOC15,US,Los Angeles,Unknown,90047,-118.3016,33.96569,False
LOSLOC16,US,Los Angeles,Unknown,90037,-118.29712,33.99131,False
LOSLOC17,US,Los Angeles,Unknown,91335,-118.52371,34.21433,False
LOSLOC18,US,Los Angeles,Unknown,90025,-118.45,34.041,True
LOSLOC19,US,Los Angeles,Unknown,90064,-118.42559,34.03326,False
LOSLOC20,US,Los Angeles,Unknown,90291,-118.4703,33.98218,False
LOSLOC21,US,Los Angeles,Unknown,91316,-118.51716,34.1683,False
LOSLOC22,US,Los Angeles,Unknown,91325,-118.50834,34.22713,False
LOSLOC23,US,Los Angeles,Unknown,91330,-118.52294,34.23914,False
LOSLOC24,US,Los Angeles,Unknown,91311,-118.56491,34.25594,False
LOSLOC25,US,Los Angeles,Unknown,90064,-118.44406,34.02542,False
LOSLOC26,US,Los Angeles,Unknown,90291,-118.458,33.986,True
LOSLOC27,US,Los Angeles,Unknown,90094,-118.4136,33.97701,False
LOSLOC28,US,Los Angeles,Unknown,90037,-118.28357,33.99936,False
LOSLOC29,US,Los Angeles,Unknown,90272,-118.5594,34.04032,False
LOSLOC30,US,Los Angeles,Unknown,91364,-118.56961,34.15883,False
LOSLOC31,US,Los Angeles,Unknown,91344,-118.511,34.26,True
LOSLOC32,US,Los Angeles,Unknown,90066,-118.43259,34.00036,False
LOSLOC33,US,Los Angeles,Unknown,90731,-118.302,33.742,True
LOSLOC34,US,Los Angeles,Unknown,90066,-118.43917,33.99542,False
LOSLOC35,US,Los Angeles,Unknown,90066,-118.43526,34.00041,False
LOSLOC36,US,Los Angeles,Unknown,90291,-118.46355,33.98778,False
