pricingId,currencyNative,cleaningFeeUSD,cleaningFeeNative,extraPeopleFeeUSD,extraPeopleFeeNative,averageDailyRateUSD,averageDailyRateNative
LOSPRC1,USD,90,90,0,0,377,377
LOSPRC2,USD,200,200,0,0,331,331
LOSPRC3,USD,63,63,9,9,83,83
LOSPRC4,USD,200,200,5.71429,5.71429,195,195
LOSPRC5,USD,80,80,0,0,76,76
LOSPRC6,USD,75,75,0,0,146,146
LOSPRC7,USD,250,250,20,20,120,120
LOSPRC8,USD,50,50,0,0,135,135
LOSPRC9,USD,150,150,10,10,74,74
LOSPRC10,USD,200,200,10,10,149,149
LOSPRC11,USD,180,180,0,0,167,167
LOSPRC12,USD,90,90,13.3333,13.3333,276,276
LOSPRC13,USD,240,240,0,0,667,667
LOSPRC14,USD,20,20,0,0,129,129
LOSPRC15,USD,180,180,0,0,232,232
LOSPRC16,USD,150,150,0,0,196,196
LOSPRC17,USD,180,180,0,0,315,315
LOSPRC18,USD,0,0,20,20,100,100
LOSPRC19,USD,65,65,0,0,103,103
LOSPRC20,USD,50,50,12.5,12.5,128,128
LOSPRC21,USD,125,125,0,0,60,60
LOSPRC22,USD,100,100,0,0,130,130
LOSPRC23,USD,150,150,0,0,113,113
LOSPRC24,USD,45,45,60,60,85,85
LOSPRC25,USD,300,300,0,0,484,484
LOSPRC26,USD,285,285,5.45455,5.45455,583,583
LOSPRC27,USD,120,120,0,0,155,155
LOSPRC28,USD,25,25,0,0,59,59
LOSPRC29,USD,200,200,20,20,511,511
LOSPRC30,USD,15,15,0,0,66,66
LOSPRC31,USD,250,250,18.1818,18.1818,286,286
LOSPRC32,USD,21,21,5,5,24,24
LOSPRC33,USD,80,80,15,15,35,35
LOSPRC34,USD,70,70,0,0,135,135
LOSPRC35,USD,150,150,0,0,189,189
LOSPRC36,USD,150,150,0,0,167,167
LOSPRC37,USD,250,250,0,0,992,992
LOSPRC38,USD,0,0,0,0,906,906
LOSPRC39,USD,60,60,0,0,75,75
LOSPRC40,USD,60,60,0,0,60,60
LOSPRC41,USD,400,400,0,0,387,387
LOSPRC42,USD,150,150,54,54,94,94
LOSPRC43,USD,75,75,0,0,117,117
LOSPRC44,USD,25,25,5,5,138,138
LOSPRC45,USD,99,99,5.71429,5.71429,345,345
LOSPRC46,USD,75,75,0,0,80,80
LOSPRC47,USD,200,200,0,0,770,770
LOSPRC48,USD,0,0,0,0,70,70
LOSPRC49,USD,250,250,1.81818,1.81818,354,354
LOSPRC50,USD,250,250,0,0,379,379
LOSPRC51,USD,200,200,0,0,552,552
LOSPRC52,USD,350,350,11.1111,11.1111,591,591
LOSPRC53,USD,150,150,33.3333,33.3333,183,183
LOSPRC54,USD,60,60,40,40,150,150
LOSPRC55,USD,100,100,20,20,256,256
LOSPRC56,USD,220,220,0,0,359,359
LOSPRC57,USD,250,250,12.5,12.5,457,457
LOSPRC58,USD,13,13,8,8,81,81
LOSPRC59,USD,50,50,0,0,100,100
LOSPRC60,USD,59,59,0,0,179,179
LOSPRC61,USD,35,35,0,0,65,65
LOSPRC62,USD,35,35,0,0,122,122
LOSPRC63,USD,55,55,10,10,133,133
LOSPRC64,USD,39,39,0,0,125,125
LOSPRC65,USD,30,30,0,0,101,101
LOSPRC66,USD,180,180,0,0,629,629
LOSPRC67,USD,150,150,0,0,200,200
LOSPRC68,USD,195,195,4.28571,4.28571,207,207
LOSPRC69,USD,100,100,0,0,111,111
LOSPRC70,USD,150,150,6.66667,6.66667,122,122
LOSPRC71,USD,41,41,9,9,73,73
LOSPRC72,USD,0,0,0,0,118,118
LOSPRC73,USD,125,125,20,20,110,110
LOSPRC74,USD,175,175,0,0,320,320
LOSPRC75,USD,45,45,0,0,191,191
LOSPRC76,USD,95,95,0,0,78,78
LOSPRC77,USD,80,80,20,20,181,181
LOSPRC78,USD,125,125,0,0,398,398
LOSPRC79,USD,130,130,0,0,294,294
LOSPRC80,USD,80,80,0,0,86,86
LOSPRC81,USD,60,60,0,0,140,140
LOSPRC82,USD,500,500,0,0,950,950
LOSPRC83,USD,75,75,0,0,114,114
LOSPRC84,USD, 'Lock on bedroom door', 'Keypad', 'Bathtub', 'Hot water',90,90
LOSPRC85,USD,70,70,0,0,267,267
LOSPRC86,USD,175,175,0,0,538,538
LOSPRC87,USD,100,100,8.57143,8.57143,299,299
LOSPRC88,USD,55,55,0,0,130,130
LOSPRC89,USD,159,159,0,0,339,339
LOSPRC90,USD,200,200,0,0,424,424
LOSPRC91,USD,175,175,11.4286,11.4286,387,387
LOSPRC92,USD,389,389,99.3333,99.3333,526,526
LOSPRC93,USD,45,45,0,0,80,80
LOSPRC94,USD,0,0,0,0,108,108
LOSPRC95,USD,135,135,0,0,218,218
LOSPRC96,USD,300,300,0,0,435,435
LOSPRC97,USD,120,120,0,0,150,150
LOSPRC98,USD,125,125,16.6667,16.6667,116,116
LOSPRC99,USD,27,27,0,0,71,71
LOSPRC100,USD,90,90,0,0,181,181
LOSPRC101,USD,300,300,14.2857,14.2857,470,470
LOSPRC102,USD,0,0,0,0,175,175
LOSPRC103,USD,41,41,9,9,64,64
LOSPRC104,USD,100,100,0,0,179,179
LOSPRC105,USD,70,70,0,0,50,50
LOSPRC106,USD,120,120,0,0,217,217
LOSPRC107,USD,200,200,0,0,295,295
LOSPRC108,USD,180,180,0,0,273,273
LOSPRC109,USD,250,250,0,0,769,769
LOSPRC110,USD,250,250,40,40,399,399
LOSPRC111,USD,250,250,0,0,387,387
LOSPRC112,USD,300,300,0,0,713,713
LOSPRC113,USD,195,195,30,30,460,460
LOSPRC114,USD,45,45,0,0,135,135
LOSPRC115,USD,99,99,0,0,118,118
LOSPRC116,USD,70,70,0,0,119,119
LOSPRC117,USD,65,65,0,0,100,100
LOSPRC118,USD,5,5,0,0,67,67
LOSPRC119,USD,50,50,0,0,49,49
LOSPRC120,USD,75,75,0,0,262,262
LOSPRC121,USD,110,110,0,0,244,244
LOSPRC122,USD,250,250,16.6667,16.6667,605,605
LOSPRC123,USD,50,50,0,0,79,79
LOSPRC124,USD,45,45,20,20,45,45
LOSPRC125,USD,295,295,4.44444,4.44444,278,278
LOSPRC126,USD,35,35,0,0,80,80
LOSPRC127,USD,75,75,20,20,71,71
LOSPRC128,USD,85,85,0,0,217,217
LOSPRC129,USD,200,200,40,40,691,691
LOSPRC130,USD,56,56,9,9,91,91
LOSPRC131,USD,110,110,25,25,127,127
LOSPRC132,USD,200,200,23.0769,23.0769,543,543
LOSPRC133,USD,180,180,0,0,435,435
LOSPRC134,USD,285,285,24,24,214,214
LOSPRC135,USD,199,199,17.1429,17.1429,853,853
LOSPRC136,USD,99,99,7.5,7.5,90,90
LOSPRC137,USD,30,30,30,30,82,82
LOSPRC138,USD,60,60,0,0,90,90
LOSPRC139,USD,60,60,0,0,142,142
LOSPRC140,USD,250,250,0,0,438,438
LOSPRC141,USD,75,75,0,0,118,118
LOSPRC142,USD,285,285,3.125,3.125,595,595
LOSPRC143,USD,60,60,10,10,149,149
LOSPRC144,USD,25,25,0,0,92,92
LOSPRC145,USD,65,65,0,0,174,174
LOSPRC146,USD,0,0,0,0,4792,4792
LOSPRC147,USD,120,120,0,0,645,645
LOSPRC148,USD,300,300,21.4286,21.4286,785,785
LOSPRC149,USD,69,69,5,5,69,69
LOSPRC150,USD,100,100,0,0,166,166
LOSPRC151,USD,120,120,20,20,221,221
