reviewId,numberOfReviews,locationRating,communicationRating,overallRating,accuracyRating,valueRating,checkinRating,cleanlinessRating
LOSREV1,70,10,10,4.8,10,9,10,9
LOSREV2,24,10,10,4.9,10,10,10,10
LOSREV3,154,9,9,4.5,9,9,10,9
LOSREV4,299,10,10,4.9,10,9,10,10
LOSREV5,33,9,9,4.5,9,9,9,9
LOSREV6,178,10,10,5,10,10,10,10
LOSREV7,2,7,10,3.5,9,8,9,8
LOSREV8,565,10,10,5,10,10,10,10
LOSREV9,53,10,10,4.7,9,9,9,9
LOSREV10,9,10,10,5,10,10,10,10
LOSREV11,28,10,9,4.5,9,9,10,9
LOSREV12,424,10,10,4.9,10,9,10,10
LOSREV13,6,10,10,4.7,10,10,10,10
LOSREV14,472,10,10,4.8,10,9,10,10
LOSREV15,64,9,10,4.9,10,10,10,10
LOSREV16,53,9,10,4.9,10,10,10,10
LOSREV17,155,10,9,4.4,9,9,10,9
LOSREV18,11,10,10,4.8,9,9,10,9
LOSREV19,5,10,10,5,10,10,10,10
LOSREV20,389,10,10,4.8,10,9,10,9
LOSREV21,9,10,10,5,9,10,10,10
LOSREV22,86,10,10,5,10,10,10,10
LOSREV23,7,10,10,5,10,9,10,10
LOSREV24,18,10,10,4.8,9,9,10,10
LOSREV25,27,10,10,4.8,10,9,10,9
LOSREV26,114,10,10,4.8,10,9,9,10
LOSREV27,19,10,10,5,10,10,10,10
LOSREV28,4,10,10,4.8,10,9,10,10
LOSREV29,68,10,10,4.8,10,9,10,9
LOSREV30,10,9,9,4.6,9,9,9,9
LOSREV31,50,10,10,4.8,10,9,10,10
LOSREV32,69,9,9,4.3,9,9,10,9
LOSREV33,123,10,10,4.9,10,10,10,10
LOSREV34,122,10,10,5,10,10,10,10
LOSREV35,49,10,10,4.7,9,9,10,9
LOSREV36,14,10,10,5,10,10,10,10
LOSREV37,17,10,10,4.7,9,9,9,9
LOSREV38,55,10,10,5,10,10,10,10
LOSREV39,23,9,10,4.8,10,10,10,10
LOSREV40,25,10,9,4.7,10,10,10,9
LOSREV41,69,10,10,4.8,10,10,10,9
LOSREV42,32,10,10,5,10,10,10,10
LOSREV43,183,10,10,4.8,10,10,10,10
LOSREV44,112,10,10,4.8,10,9,10,9
LOSREV45,28,10,10,4.8,10,10,10,10
LOSREV46,10,10,10,5,10,10,10,10
LOSREV47,66,10,10,5,10,10,10,10
LOSREV48,4,10,10,5,10,10,10,10
LOSREV49,15,10,9,4.2,8,9,10,8
LOSREV50,69,10,10,4.7,10,9,10,10
LOSREV51,46,10,10,4.8,10,9,10,9
LOSREV52,3,10,10,5,10,10,10,10
LOSREV53,112,10,10,4.8,10,10,10,10
LOSREV54,39,10,10,4.9,10,10,10,10
LOSREV55,125,9,9,4.7,9,9,10,9
LOSREV56,89,10,10,5,10,10,10,10
LOSREV57,17,10,10,4.7,9,9,10,9
LOSREV58,17,10,10,5,10,10,10,10
LOSREV59,99,8,10,4.8,9,9,10,9
LOSREV60,32,10,10,5,10,10,10,10
LOSREV61,70,10,10,4.9,10,10,10,10
LOSREV62,226,10,10,5,10,10,10,10
LOSREV63,122,10,9,4.8,10,9,10,9
LOSREV64,158,9,10,5,10,10,10,10
LOSREV65,326,10,10,5,10,10,10,10
LOSREV66,70,10,10,4.8,9,9,10,9
LOSREV67,4,10,10,4.8,10,10,10,10
LOSREV68,168,10,10,5,10,10,10,10
LOSREV69,14,10,10,5,10,10,10,10
LOSREV70,11,10,10,5,10,10,10,10
LOSREV71,105,9,9,4.6,9,9,10,9
LOSREV72,69,9,10,4.8,10,9,10,10
LOSREV73,92,10,10,4.8,10,9,10,10
LOSREV74,240,10,10,4.9,10,10,10,10
LOSREV75,19,9,9,4.3,9,9,9,9
LOSREV76,17,10,10,5,10,10,10,10
LOSREV77,83,10,10,4.7,10,9,10,10
LOSREV78,104,10,10,4.9,10,10,10,9
LOSREV79,191,10,10,5,10,10,10,10
LOSREV80,5,10,10,5,10,10,10,10
LOSREV81,79,10,10,5,10,10,10,10
LOSREV82,18,10,10,5,10,9,10,10
LOSREV83,52,10,10,4.9,10,10,10,10
LOSREV84, 'Essentials', 'Beachfront', 'Beach essentials', 'Backyard', 'Luggage dropoff allowed', 'Mini fridge', 'Waterfront', 'Long term stays allowed'
LOSREV85,180,10,10,4.8,10,9,10,10
LOSREV86,64,10,10,4.9,10,9,10,10
LOSREV87,166,10,10,4.8,10,10,10,10
LOSREV88,408,10,10,4.8,10,10,10,9
LOSREV89,3,10,9,5,10,9,10,10
LOSREV90,40,10,10,5,10,10,10,10
LOSREV91,384,10,10,4.8,8,8,10,10
LOSREV92,26,10,10,4.7,10,9,10,9
LOSREV93,14,10,10,4.9,9,10,10,10
LOSREV94,150,10,10,4.8,10,10,10,10
LOSREV95,106,10,10,4.8,10,9,10,9
LOSREV96,67,10,9,4.8,10,9,9,10
LOSREV97,9,9,9,4.2,8,8,9,9
LOSREV98,65,10,10,4.9,10,10,10,10
LOSREV99,96,8,9,4.3,8,8,10,8
LOSREV100,68,10,10,5,10,10,10,10
LOSREV101,43,10,10,5,10,10,10,10
LOSREV102,26,10,10,4.9,10,10,10,10
LOSREV103,124,9,9,4.3,9,8,10,9
LOSREV104,261,10,10,4.9,10,10,10,10
LOSREV105,35,10,10,4.9,10,10,10,10
LOSREV106,49,10,10,4.7,9,9,10,9
LOSREV107,11,10,10,4.5,9,9,10,9
LOSREV108,242,10,10,5,10,10,10,10
LOSREV109,152,10,10,5,10,10,10,10
LOSREV110,79,10,10,4.8,10,10,10,10
LOSREV111,78,10,10,4.8,10,9,10,10
LOSREV112,156,10,10,4.8,10,9,10,9
LOSREV113,159,10,10,5,10,10,10,10
LOSREV114,84,10,10,4.8,10,10,10,10
LOSREV115,72,9,10,4.7,9,9,10,9
LOSREV116,240,10,10,4.9,10,10,10,10
LOSREV117,275,10,10,4.9,10,10,10,10
LOSREV118,188,10,10,4.8,10,10,10,10
LOSREV119,6,10,10,4.8,10,10,10,10
LOSREV120,100,10,10,5,10,10,10,10
LOSREV121,302,10,10,5,10,10,10,10
LOSREV122,72,10,10,4.9,10,10,10,10
